"Variable","Type","Axis","Effect_Size_or_Rho","P_Value","Significance_Status"
"History_Sleep_Apnea_Personal","Categorical","PCoA2",0.0493,0.00168,"Significant (p < 0.05)"
"History_Sleep_Apnea_Personal","Categorical","PCoA1",-0.1034,0.01302,"Significant (p < 0.05)"
"SES_Ladder","Continuous","PCoA1",0.2382,0.0291,"Significant (p < 0.05)"
"Loneliness","Categorical","PCoA2",0.0315,0.06385,"Not Significant"
"Hearing_Loss","Categorical","PCoA1",0.0801,0.06608,"Not Significant"
"Sex","Categorical","PCoA1",0.0659,0.07114,"Not Significant"
"Smokes_Tobacco","Categorical","PCoA1",-0.0584,0.15052,"Not Significant"
"Air_Pollution_Exposure","Categorical","PCoA1",0.1669,0.19165,"Not Significant"
"History_Heart_Attack_After_40_Personal","Categorical","PCoA2",0.0259,0.19838,"Not Significant"
"History_Sleep_Apnea_Family","Categorical","PCoA2",0.0251,0.23285,"Not Significant"
"History_High_Cholesterol_Personal","Categorical","PCoA2",0.0229,0.23351,"Not Significant"
"History_Heart_Attack_Before_40_Family","Categorical","PCoA2",0.0365,0.249,"Not Significant"
"History_Head_Trauma","Categorical","PCoA1",-0.0687,0.25273,"Not Significant"
"Education","Continuous","PCoA2",0.1254,0.25573,"Not Significant"
"History_Diabetes_Type2_Personal","Categorical","PCoA1",-0.0852,0.26318,"Not Significant"
"History_Diabetes_Type1_Family","Categorical","PCoA1",0.0543,0.27657,"Not Significant"
"Sex","Categorical","PCoA2",-0.0217,0.29983,"Not Significant"
"History_Heart_Attack_After_40_Family","Categorical","PCoA2",-0.0193,0.32157,"Not Significant"
"History_Hypertension_Personal","Categorical","PCoA2",0.018,0.33079,"Not Significant"
"History_Diabetes_Type1_Personal","Categorical","PCoA2",0.0198,0.3431,"Not Significant"
"History_Diabetes_Type2_Personal","Categorical","PCoA2",0.0181,0.34996,"Not Significant"
"History_Hypertension_Family","Categorical","PCoA2",-0.0185,0.35383,"Not Significant"
"History_Hypertension_Family","Categorical","PCoA1",0.0317,0.38586,"Not Significant"
"History_Heart_Attack_After_40_Family","Categorical","PCoA1",0.03,0.40187,"Not Significant"
"Age","Continuous","PCoA1",0.0887,0.42261,"Not Significant"
"History_High_Cholesterol_Family","Categorical","PCoA1",-0.0285,0.42273,"Not Significant"
"Subjective_Memory_Complaints","Categorical","PCoA1",0.0275,0.47869,"Not Significant"
"Family_History_NonAlzheimers_Dementia","Categorical","PCoA2",0.0129,0.50909,"Not Significant"
"History_CAD_Personal","Categorical","PCoA2",0.0123,0.52078,"Not Significant"
"Income","Continuous","PCoA2",-0.0703,0.52519,"Not Significant"
"History_Diabetes_Type1_Family","Categorical","PCoA2",-0.0171,0.54285,"Not Significant"
"Familial_Cardiovascular_Burden","Continuous","PCoA2",-0.0641,0.56269,"Not Significant"
"Dementia_Risk_Score","Continuous","PCoA2",0.0619,0.57584,"Not Significant"
"Familial_Cardiovascular_Burden","Continuous","PCoA1",0.06,0.58771,"Not Significant"
"Dementia_Risk_Score","Continuous","PCoA1",-0.0596,0.59031,"Not Significant"
"Hearing_Loss","Categorical","PCoA2",0.009,0.60123,"Not Significant"
"SES_Ladder","Continuous","PCoA2",0.0574,0.60406,"Not Significant"
"History_High_Cholesterol_Family","Categorical","PCoA2",-0.008,0.67178,"Not Significant"
"Smokes_Tobacco","Categorical","PCoA2",0.0078,0.70711,"Not Significant"
"History_Diabetes_Type2_Family","Categorical","PCoA1",0.0135,0.71425,"Not Significant"
"Family_History_NonAlzheimers_Dementia","Categorical","PCoA1",0.0139,0.72341,"Not Significant"
"Loneliness","Categorical","PCoA1",-0.0193,0.74506,"Not Significant"
"Income","Continuous","PCoA1",-0.0354,0.74921,"Not Significant"
"History_Diabetes_Type2_Family","Categorical","PCoA2",-0.0057,0.75839,"Not Significant"
"History_Hypertension_Personal","Categorical","PCoA1",-0.0105,0.78202,"Not Significant"
"History_High_Cholesterol_Personal","Categorical","PCoA1",-0.0074,0.83438,"Not Significant"
"Subjective_Memory_Complaints","Categorical","PCoA2",0.0034,0.85076,"Not Significant"
"Age","Continuous","PCoA2",-0.0202,0.85552,"Not Significant"
"History_CAD_Personal","Categorical","PCoA1",-0.0132,0.86825,"Not Significant"
"History_Sleep_Apnea_Family","Categorical","PCoA1",-0.0075,0.87761,"Not Significant"
"Family_History_Alzheimers","Categorical","PCoA2",-0.0043,0.88343,"Not Significant"
"History_Heart_Attack_Before_40_Family","Categorical","PCoA1",-0.0104,0.89519,"Not Significant"
"Family_History_Alzheimers","Categorical","PCoA1",-0.0061,0.90946,"Not Significant"
"History_Diabetes_Type1_Personal","Categorical","PCoA1",0.009,0.91807,"Not Significant"
"History_Head_Trauma","Categorical","PCoA2",-0.003,0.93451,"Not Significant"
"History_Heart_Attack_After_40_Personal","Categorical","PCoA1",-0.0082,0.94824,"Not Significant"
"History_CAD_Family","Categorical","PCoA1",-0.0015,0.96749,"Not Significant"
"Air_Pollution_Exposure","Categorical","PCoA2",9e-04,0.9755,"Not Significant"
"History_CAD_Family","Categorical","PCoA2",5e-04,0.98011,"Not Significant"
"Education","Continuous","PCoA1",0.0024,0.98238,"Not Significant"
