"Taxon","PC2_Loading","Outlier","Rest_of_Cohort"
"Firmicutes_Lachnoclostridium",-0.112615918722233,1.797,0.177
"Firmicutes_GGB45491",-0.112237053957866,0.316,0.003
"Actinobacteria_GGB45432",-0.109371736580956,0.389,0.007
"Firmicutes_GGB38987",-0.108435291867502,0.631,0.005
"Firmicutes_Bariatricus",-0.108113257830198,0.217,0
"Firmicutes_GGB32487",-0.107735446173198,0.273,0
"Actinobacteria_Rubneribacter",-0.107672502765191,0.104,0
"Firmicutes_GGB74708",-0.107672502765191,0.112,0
"Firmicutes_GGB74802",-0.107672502765191,0.366,0
"Firmicutes_Anaerofustis",-0.107672502765191,0.011,0
